Component 1,,,,
v,J,cm-1,Uncertainty,Number trans.
0,1,3.9810888,0.0000001,4
0,2,11.9430847,0.0000024,6
0,0,0,0,1
0,3,23.8857446,0.0000151,4
0,5,59.6608082,0.0021151,3
1,4,2383.435745,0.0010151,3
0,6,83.4929419,0.0040024,3
1,5,2403.093085,0.0030024,3
0,7,111.3358082,0.0041151,2
1,6,2426.735808,0.0031151,2
0,4,39.7680847,0.0020024,2
1,3,2367.668085,0.0010024,2
1,2,2355.860745,0.0010151,1
1,7,2454.292942,0.0050024,3
1,8,2485.785808,0.0051151,2
0,8,143.1179419,0.0080024,1
1,9,2521.217942,0.0070024,3
0,10,218.6179419,0.0100024,1
1,11,2603.867942,0.0090024,2
2,10,4869.942942,0.0080024,2
2,8,4795.867942,0.0060024,2
2,7,4764.685808,0.0061151,1
2,6,4737.392942,0.0060024,1
Component 2,,,,
0,13,99.3001951,0.0008341,3
1,12,2388.75,0.0004926,5
0,15,214.4582732,0.0026016,3
1,14,2494.950195,0.0009024,4
0,19,492.2892139,0.0009176,2
1,18,2754.463914,0.0006448,3
0,17,345.4639139,0.0006649,2
1,16,2616.863914,0.0009491,3
0,11,0,0.0009706,1
2,15,4860.844555,0.0048204,2
2,11,4650.475,0.0006649,2
1,10,2298.225,0.0009706,1
2,13,4747.875,0.0009706,1
Component 3,,,,
0,14,107.249888,0.0006107,3
1,13,2392.225,0.0006107,3
0,18,369.274888,0.000936,1
1,17,2636.074888,0.0009304,3
0,16,230.337388,0.0097163,2
1,15,2506.299888,0.0009304,3
0,12,0,0.000936,1
2,16,4875.537388,0.0097163,2
Component 4,,,,
0,25,0,0.0007071,1
1,24,2233.65,0.0007071,1
Component 5,,,,
0,24,0,0.0007071,1
1,23,2238.5,0.0007071,1
Component 6,,,,
0,23,0,0.0007071,1
1,22,2243.3,0.0007071,1
Component 7,,,,
0,22,0,0.0007071,1
1,21,2248.075,0.0007071,1
Component 8,,,,
0,21,0,0.000866,1
1,20,2252.8,0.0005,2
2,19,4478.45,0.000866,1
Component 9,,,,
0,20,0,0.000866,1
1,19,2257.5,0.0005,2
2,18,4487.8,0.000866,1