cm-1,Original Unc. ,MARVEL unc.,v',J',v'',J'',Tag
7.96199463152,0.0000027722,0.0000027722,0,2,0,1,14CeBaAl.1
3.98108879279,0.0000001002,0.0000001002,0,1,0,0,21AvMaRo.1
7.96199590807,0.0000002338,0.0000003000,0,2,0,1,21AvMaRo.2
11.94266015702,0.0000002672,0.0000018000,0,3,0,2,21AvMaRo.3
7.96199373640,0.0000006680,0.0000023000,0,2,0,1,82BoHeDe.1
11.94264828800,0.0000006680,0.0000127000,0,3,0,2,82BoHeDe.2
2323.765,0.003,0.0137500000,1,4,0,5,91HoOzCr.1
2319.607,0.003,0.0069300000,1,5,0,6,91HoOzCr.2
2289.434,0.003,0.0158400000,1,12,0,13,91HoOzCr.3
2284.984,0.003,0.0089100000,1,13,0,14,91HoOzCr.4
2280.492,0.003,0.0030000000,1,14,0,15,91HoOzCr.5
2262.172,0.003,0.0030000000,1,18,0,19,91HoOzCr.6
2233.650,0.001,0.0010000000,1,24,0,25,01LoFlPe.1
2238.500,0.001,0.0010000000,1,23,0,24,01LoFlPe.2
2243.300,0.001,0.0010000000,1,22,0,23,01LoFlPe.3
2248.075,0.001,0.0010000000,1,21,0,22,01LoFlPe.4
2252.800,0.001,0.0010000000,1,20,0,21,01LoFlPe.5
2257.500,0.001,0.0010000000,1,19,0,20,01LoFlPe.6
2262.175,0.001,0.0010000000,1,18,0,19,01LoFlPe.7
2266.800,0.001,0.0010000000,1,17,0,18,01LoFlPe.8
2271.400,0.001,0.0010000000,1,16,0,17,01LoFlPe.9
2275.975,0.001,0.0137500000,1,15,0,16,01LoFlPe.10
2280.500,0.001,0.0084779000,1,14,0,15,01LoFlPe.11
2284.975,0.001,0.0010000000,1,13,0,14,01LoFlPe.12
2289.450,0.001,0.0017600000,1,12,0,13,01LoFlPe.13
2315.400,0.001,0.0010000000,1,6,0,7,01LoFlPe.14
2319.600,0.001,0.0010000000,1,5,0,6,01LoFlPe.15
2323.775,0.001,0.0011000000,1,4,0,5,01LoFlPe.16
2327.900,0.001,0.0010000000,1,3,0,4,01LoFlPe.17
2331.975,0.001,0.0010000000,1,2,0,3,01LoFlPe.18
2355.725,0.001,0.0010000000,1,3,0,2,01LoFlPe.19
2359.550,0.001,0.0010000000,1,4,0,3,01LoFlPe.20
2363.325,0.001,0.0010000000,1,5,0,4,01LoFlPe.21
2367.075,0.001,0.0010000000,1,6,0,5,01LoFlPe.22
2370.800,0.001,0.0010000000,1,7,0,6,01LoFlPe.23
2374.450,0.001,0.0010000000,1,8,0,7,01LoFlPe.24
2378.100,0.001,0.0010000000,1,9,0,8,01LoFlPe.25
2385.250,0.001,0.0010000000,1,11,0,10,01LoFlPe.26
2388.750,0.001,0.0010000000,1,12,0,11,01LoFlPe.27
2392.225,0.001,0.0010000000,1,13,0,12,01LoFlPe.28
2395.650,0.001,0.0010000000,1,14,0,13,01LoFlPe.29
2399.050,0.001,0.0010000000,1,15,0,14,01LoFlPe.30
2402.400,0.001,0.0068256000,1,16,0,15,01LoFlPe.31
2405.725,0.001,0.0137500000,1,17,0,16,01LoFlPe.32
2409.000,0.001,0.0010000000,1,18,0,17,01LoFlPe.33
2225.650,0.001,0.0010000000,2,19,1,20,01LoFlPe.34
2230.300,0.001,0.0010000000,2,18,1,19,01LoFlPe.35
2239.450,0.001,0.0137500000,2,16,1,17,01LoFlPe.36
2243.975,0.001,0.0068256000,2,15,1,16,01LoFlPe.37
2261.725,0.001,0.0010000000,2,11,1,12,01LoFlPe.38
2266.075,0.001,0.0010000000,2,10,1,11,01LoFlPe.39
2274.650,0.001,0.0010000000,2,8,1,9,01LoFlPe.40
2278.900,0.001,0.0010000000,2,7,1,8,01LoFlPe.41
2283.100,0.001,0.0010000000,2,6,1,7,01LoFlPe.42
2341.575,0.001,0.0010000000,2,8,1,7,01LoFlPe.43
2348.725,0.001,0.0010000000,2,10,1,9,01LoFlPe.44
2352.250,0.001,0.0010000000,2,11,1,10,01LoFlPe.45
2359.125,0.001,0.0010000000,2,13,1,12,01LoFlPe.46
2365.900,0.001,0.0068256000,2,15,1,14,01LoFlPe.47
2369.250,0.001,0.0137500000,2,16,1,15,01LoFlPe.48